abborre	NN_UTR	2
abdikation	NN_UTR	3
abdikera	VB	3
aber	NN_NEU	1
abonnemang	NN_NEU	3
abrakadabra	NN_NEU	4
abrupt	JJ	1
absolut	JJ	1
absolut	AB	1
absorbera	VB	2
abstraktionsnivå	NN_UTR	4
absurd	JJ	2
acceptabel	JJ	2
acceptera	VB	2
action	NN_UTR	1
actionfilm	NN_UTR	2
addition	NN_UTR	1
adekvat	JJ	2
adel	NN_UTR	1
adelsfamilj	NN_UTR	2
adelsman	NN_UTR	3
adjektiv	NN_NEU	2
adla	VB	1
administration	NN_UTR	2
administrativ	JJ	2
administratör	NN_UTR	2
adoptera	VB	2
adoption	NN_UTR	2
adoptionslag	NN_NEU	2
adoptivförälder	NN_UTR	3
adrenalin	NN_NEU	2
adress	NN_UTR	2
adressbok	NN_UTR	2
adressera	VB	2
advent	NN_NEU	2
adventskalender	NN_UTR	2
adventsljusstake	NN_UTR	2
adverb	NN_NEU	2
advokat	NN_UTR	1
advokatbyrå	NN_UTR	2
advokatson	NN_UTR	3
aerobics	NN_UTR	2
affisch	NN_UTR	2
affär	NN_UTR	1
affärsbrev	NN_NEU	3
affärsfilosofi	NN_UTR	3
affärsidé	NN_UTR	2
affärskollega	NN_UTR	2
affärskultur	NN_UTR	2
affärskvinna	NN_UTR	2
affärsliv	NN_NEU	2
affärsman	NN_UTR	2
affärsmöte	NN_NEU	2
affärsmöte	NN_UTR	3
affärsvän	NN_UTR	2
afrikan	NN_UTR	2
afrikansk	JJ	2
afton	NN_UTR	1
aftonbön	NN_UTR	2
ag	NN_UTR	0
aga	VB	2
agent	NN_UTR	1
agentkontor	NN_NEU	3
agera	VB	2
aggression	NN_UTR	2
aggressiv	JJ	2
aggressivitet	NN_UTR	2
akademi	NN_UTR	2
akademiker	NN_UTR	2
akademisk	JJ	2
akrobatisk	JJ	2
aktie	NN_UTR	1
aktiebolag	NN_NEU	2
aktiefond	NN_UTR	2
aktieförsäljning	NN_UTR	3
aktieklipp	NN_NEU	2
aktiespekulation	NN_UTR	3
aktieägare	NN_UTR	2
aktig	JJ	2
aktiv	JJ	1
aktivera	VB	2
aktivitet	NN_UTR	1
aktivitetsbidrag	NN_NEU	3
aktualitet	NN_UTR	3
aktuell	JJ	2
akupunktör	NN_UTR	3
akut	AB	1
akvarell	NN_UTR	2
akvariefisk	NN_UTR	2
akvarium	NN_NEU	2
al	NN_NEU	1
al	NN_UTR	0
alan	NN_UTR	1
album	NN_NEU	1
aldrig	AB	2
alfabet	NN_NEU	0
